SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;nome_rete;annoInizio;annoFine;tipo
15;Cortona;TOS01000751;OD:TOS01000751;43,268995;11,996448;485;Italy;Toscana;Quota ricavata da dem;1991;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
16;Castiglion Fiorentino;TOS01000761;OD:TOS01000761;43,342826;11,928964;281;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
19;Badia Agnano;TOS01000811;OD:TOS01000811;43,436499;11,649081;265;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
20;Nusenna in Chianti;TOS01000831;OD:TOS01000831;43,450240;11,531117;479;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1962;2020;site2
23;Pian di Sco';TOS01000881;OD:TOS01000881;43,649965;11,555150;470;Italy;Toscana;Quota ricavata da dem;1991;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
24;Il Palagio;TOS01000891;OD:TOS01000891;43,614937;11,429856;293;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
25;Vallombrosa;TOS01000901;OD:TOS01000901;43,731367;11,556821;1050;Italy;Toscana;Quota ricavata da dem;1993;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
26;Cavallina;TOS01000911;OD:TOS01000911;43,983567;11,237420;255;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
27;Monte di Fo';TOS01000916;OD:TOS01000916;44,079632;11,280845;792;Italy;Toscana;Quota ricavata da dem;1991;2015;1992;2015;1992;2015;NESSUNA INFORMAZIONE RETE;1980;2020;site2
31;Ponte a Olmo;TOS01000931;OD:TOS01000931;44,049072;11,304384;506;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
32;Vaglia;TOS01000941;OD:TOS01000941;43,912891;11,280048;304;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
34;Razzuolo;TOS01000979;OD:TOS01000979;44,031584;11,467726;775;Italy;Toscana;Quota ricavata da dem;1991;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
35;Ronta;TOS01000991;OD:TOS01000991;44,009048;11,436408;457;Italy;Toscana;Quota ricavata da dem;1977;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
36;Borgo S. Lorenzo;TOS01000999;OD:TOS01000999;43,957877;11,390510;194;Italy;Toscana;Quota ricavata da dem;1977;2015;1951;2015;1951;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
38;Dicomano;TOS01001029;OD:TOS01001029;43,892594;11,527900;293;Italy;Toscana;Quota ricavata da dem;2000;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
